,Ensemble,Base Dataset,Original Size,Compressed Size,Compression Time,Reached Optimal ,Number of iterations,Reached Optimal
0,Pima-Diabetes.RF1.txt,Pima-Diabetes.train1.csv,100,6,1451.460442907,,1,False
1,Pima-Diabetes.RF6.txt,Pima-Diabetes.train6.csv,100,4,345.93658875200003,,1,False
2,Pima-Diabetes.RF10.txt,Pima-Diabetes.train10.csv,100,4,14.601931604999663,,1,False
3,Pima-Diabetes.RF8.txt,Pima-Diabetes.train8.csv,100,2,9.676914563000082,,1,False
4,Pima-Diabetes.RF9.txt,Pima-Diabetes.train9.csv,100,2,10.474653969999963,,1,False
5,Pima-Diabetes.RF7.txt,Pima-Diabetes.train7.csv,100,6,1678.653080573,,1,False
6,Pima-Diabetes.RF3.txt,Pima-Diabetes.train3.csv,100,2,11.835287384000367,,1,False
7,Pima-Diabetes.RF4.txt,Pima-Diabetes.train4.csv,100,6,1313.2296056990003,,1,False
8,Pima-Diabetes.RF5.txt,Pima-Diabetes.train5.csv,100,4,13.091178539999419,,1,False
9,Pima-Diabetes.RF2.txt,Pima-Diabetes.train2.csv,100,4,12.80178806799995,,1,False
